SK_FACT_PLACEMENT,OFFER_ID,OFFER_LINE_ID,SK_OFFER_DATE,SK_JOIN_DATE,SK_STUDENT,SK_COMPANY,SK_COLLEGE,STUDENT_ID,COMPANY_ID,COLLEGE_ID,OFFER_DATE,EXPECTED_JOIN_DATE,ROLE_TITLE,OFFER_LEVEL,CTC_LPA,MONTHLY_STIPEND,JOB_CITY,HIRING_MODE,OFFER_STATUS,IS_JOINED,IS_ACCEPTED,UPDATED_AT,LOAD_TS,BATCH_ID
eb25b7d98e30ec8212a9c5e6870254d8,OF9011,1,20260105,20260826,30a4c3b042337923a7d6024183360e61,2afe3efdd57fc3b13d0dbe857a9d7b8c,66de95f4be29c1081a0f1daee38c0083,ST0020,CO004,CL003,2026-01-05,2026-08-26,Data Analyst,FTE,31.23,0.0,Noida,OFF_CAMPUS,REJECTED,0,0,2026-01-01 10:11:00,1788913807089435,BATCH_20260909_002951
42a95527bd609e91782717c9ad6c9367,OF9012,1,20260108,20260712,e1a3b2d311ca40b0ae31bd17ef4aff34,60ce35485189716b2a5089346a155b55,66de95f4be29c1081a0f1daee38c0083,ST0013,CO011,CL003,2026-01-08,2026-07-12,DevOps Engineer,INTERN,30.18,99390.0,Chennai,ON_CAMPUS,ACCEPTED,0,1,2026-01-01 10:12:00,1788913807089435,BATCH_20260909_002951
ab3aae290fc76fa21fc366c573bfd51f,OF9013,1,20260113,20260629,9d9d65f0cec06a46d04eb76e08b35acd,76fc2b50ed3929bdc9a1735331c0cfd2,9128c31a7483f3b584eadbbf0402b51d,ST0019,CO015,CL007,2026-01-13,2026-06-29,Business Analyst,INTERN,10.02,67129.0,Noida,ON_CAMPUS,OFFERED,0,0,2026-01-01 10:13:00,1788913807089435,BATCH_20260909_002951
48f467510010f5c386c65a4c8c777390,OF9014,1,20260109,20260622,8a4a72fcfd85d912bee0e7743bf7c58f,4241dd9c86faf7f0fb809532191f91ba,c6e13f5f5e109814224c7e5831b70d40,ST0004,CO008,CL004,2026-01-09,2026-06-22,ML Engineer,FTE,41.99,0.0,Chennai,OFF_CAMPUS,REJECTED,0,0,2026-01-01 10:14:00,1788913807089435,BATCH_20260909_002951
9cf4625d7cdd00f2128906359c121a88,OF9015,1,20260121,20260806,47ba031a4414bcdecb40b313ed08e393,60ce35485189716b2a5089346a155b55,8677d39e2ddb3c963a95bb6bb416d8ac,ST0016,CO011,CL014,2026-01-21,2026-08-06,Business Analyst,FTE,17.47,0.0,Chennai,ON_CAMPUS,JOINED,1,1,2026-01-01 10:15:00,1788913807089435,BATCH_20260909_002951
36bebe3d3cc0baca9ed850580769bd48,OF9016,1,20260120,20260606,c911a53811768af4810ed15070085f87,b547e09cf0339ae55c3fa1f835edc7e4,5073ca0ddef03d3eb229a66b80eb4636,ST0009,CO010,CL006,2026-01-20,2026-06-06,Business Analyst,FTE,30.8,0.0,Chennai,REFERRAL,OFFERED,0,0,2026-01-01 10:16:00,1788913807089435,BATCH_20260909_002951
7c08ea4f8b5af2d0d060af3ed7472b21,OF9017,1,20260121,20260618,e1a3b2d311ca40b0ae31bd17ef4aff34,4241dd9c86faf7f0fb809532191f91ba,66de95f4be29c1081a0f1daee38c0083,ST0013,CO008,CL003,2026-01-21,2026-06-18,QA Engineer,INTERN,35.65,42973.0,Chennai,ON_CAMPUS,OFFERED,0,0,2026-01-01 10:17:00,1788913807089435,BATCH_20260909_002951
c3fa6590481f31b6edb15f75cc7684a3,OF9018,1,20260121,20260615,d006abcee7b2b536e7d8072227e8369b,4a92b6f848a7863ca882f662ff5ade62,c6e13f5f5e109814224c7e5831b70d40,ST0015,CO002,CL004,2026-01-21,2026-06-15,Business Analyst,INTERN,32.22,35931.0,Bengaluru,OFF_CAMPUS,JOINED,1,1,2026-01-01 10:18:00,1788913807089435,BATCH_20260909_002951
3407fd2df9657f1a209fac13312e0e2e,OF9019,1,20260106,20260602,47ba031a4414bcdecb40b313ed08e393,f012c7e592ae6564e7d7f10016946f8b,8677d39e2ddb3c963a95bb6bb416d8ac,ST0016,CO009,CL014,2026-01-06,2026-06-02,Software Engineer,INTERN,13.67,96751.0,Chennai,REFERRAL,WITHDRAWN,0,0,2026-01-01 10:19:00,1788913807089435,BATCH_20260909_002951
0ea0c8fc390bde0d0399403ae1b31bb0,OF9020,1,20260117,20260818,7b50bf254e9fa3a739719d5ae05f4cc1,77c39130f2e02534773c40d86ffb4df7,db2ae809cfc87760f7a96153de6f6c78,ST0006,CO007,CL002,2026-01-17,2026-08-18,QA Engineer,INTERN,21.12,108728.0,Hyderabad,OFF_CAMPUS,ACCEPTED,0,1,2026-01-01 10:20:00,1788913807089435,BATCH_20260909_002951
1320c601d11f52fa04397a705d5f49e6,OF9021,1,20260115,20260729,a36e29948c42e0d2bf78a0bcff55c3e4,60ce35485189716b2a5089346a155b55,db2ae809cfc87760f7a96153de6f6c78,ST0007,CO011,CL002,2026-01-15,2026-07-29,Software Engineer,FTE,26.78,0.0,Chennai,REFERRAL,WITHDRAWN,0,0,2026-01-01 10:21:00,1788913807089435,BATCH_20260909_002951
f72d067c30c8c168d1c4110ed5240687,OF9022,1,20260126,20260714,d006abcee7b2b536e7d8072227e8369b,e2d401ee5a9ba517246dd26016726769,c6e13f5f5e109814224c7e5831b70d40,ST0015,CO006,CL004,2026-01-26,2026-07-14,QA Engineer,INTERN,33.74,100926.0,Bengaluru,REFERRAL,OFFERED,0,0,2026-01-01 10:22:00,1788913807089435,BATCH_20260909_002951
2c844614054098562dc7d148d044b12c,OF9023,1,20260107,20260702,e1a3b2d311ca40b0ae31bd17ef4aff34,4a92b6f848a7863ca882f662ff5ade62,66de95f4be29c1081a0f1daee38c0083,ST0013,CO002,CL003,2026-01-07,2026-07-02,DevOps Engineer,FTE,15.11,0.0,Bengaluru,REFERRAL,OFFERED,0,0,2026-01-01 10:23:00,1788913807089435,BATCH_20260909_002951
8581b90101633ac3376dbdeaf0c9f157,OF9024,1,20260112,20260804,1e0a6a14674ef8eab613fbccd2ee8d08,954a9805522d9b7737786c0b41d73fdf,64642ce531e425151488bf40aa088e06,ST0003,CO001,CL008,2026-01-12,2026-08-04,ML Engineer,FTE,26.79,0.0,Bengaluru,OFF_CAMPUS,REJECTED,0,0,2026-01-01 10:24:00,1788913807089435,BATCH_20260909_002951
aadc8adcaa263ed01246c20059d8afe4,OF9025,1,20260101,20260628,1e0a6a14674ef8eab613fbccd2ee8d08,77c39130f2e02534773c40d86ffb4df7,64642ce531e425151488bf40aa088e06,ST0003,CO007,CL008,2026-01-01,2026-06-28,Software Engineer,INTERN,26.09,87091.0,Hyderabad,ON_CAMPUS,REJECTED,0,0,2026-01-01 10:25:00,1788913807089435,BATCH_20260909_002951
